latitude,longitude,rock_group,rock_type,density_model,thermal_conductivity,heat_production,heat_production_mass
-79.59222222,-20.33611111,metamorphic,metaplutonic,2667.470151,4.586938033,1.640648599,0.000615058
-79.59222222,-20.33611111,metamorphic,metaplutonic,2668.209025,4.586963208,1.657532798,0.000621215
-79.58011393,158.4212773,igneous,plutonic,2676.311191,4.587007206,1.92952371,0.000720964
-79.58011222,158.7712607,igneous,plutonic,2615.889619,4.586859246,3.583574726,0.001369926
-79.58011222,158.7712607,igneous,plutonic,2650.83304,4.586974657,1.748625805,0.000659651
-79.58011222,158.7712607,igneous,plutonic,2669.445798,4.586956175,2.632536299,0.000986173
-79.58011222,158.7712607,igneous,plutonic,2692.097147,4.587005689,2.352083376,0.000873699
-79.58011158,158.9012545,igneous,plutonic,2606.8907,4.586870432,2.940504783,0.001127974
-79.58011158,158.9012545,igneous,plutonic,2624.796768,4.586880722,2.96368502,0.00112911
-79.58011062,159.101245,igneous,plutonic,2639.425121,4.586930184,2.921821087,0.001106991
-79.58011062,159.101245,metamorphic,metasedimentary,2705.968474,4.587310255,2.626695124,0.000970704
-79.58011062,159.101245,metamorphic,metasedimentary,2723.485033,4.58762036,3.118493919,0.001145038
-79.58011062,159.101245,metamorphic,metaigneous,2965.177449,4.589488527,1.359288418,0.000458417
-79.57969769,159.7180755,igneous,plutonic,2622.703111,4.58684494,4.226964536,0.001611682
-79.57969769,159.7180755,igneous,plutonic,2637.497749,4.586794657,2.801275298,0.001062096
-79.57969769,159.7180755,igneous,plutonic,2718.38386,4.586545513,2.056023912,0.000756341
-79.57969769,159.7180755,igneous,plutonic,2936.324834,4.58876544,1.024377218,0.000348864
-79.57969769,159.7180755,igneous,plutonic,2959.100464,4.589679919,1.170554653,0.000395578
-79.57664789,159.7129753,igneous,plutonic,2638.930634,4.586735711,1.908036769,0.000723034
-79.57664789,159.7129753,igneous,plutonic,2950.194638,4.589403709,1.055800413,0.000357875
-79.57664789,159.7129753,igneous,plutonic,2950.321747,4.589386753,0.976954981,0.000331135
-79.57517801,159.7059654,igneous,plutonic,2935.89173,4.58903262,0.646180118,0.000220097
-79.57517801,159.7059654,igneous,plutonic,2992.252146,4.589958222,1.021860485,0.000341502
-79.57460808,159.6973258,igneous,plutonic,3076.19811,4.592483802,1.545041574,0.000502257
-79.57460808,159.6973258,igneous,plutonic,3081.350152,4.592482321,1.537224171,0.00049888
-79.57412828,159.6620374,metamorphic,metaplutonic,2670.486031,4.586994056,3.339183235,0.001250403
-79.57412828,159.6620374,metamorphic,metaplutonic,2693.906851,4.587001413,2.747713223,0.001019973
-79.57412828,159.6620374,metamorphic,metaplutonic,2764.97689,4.587602616,2.265227236,0.000819257
-79.5739082,159.6798665,igneous,plutonic,2635.994811,4.586899846,2.082364278,0.000789973
-79.5739082,159.6798665,igneous,plutonic,2668.052969,4.586977069,1.41246516,0.000529399
-79.5739082,159.6798665,igneous,plutonic,2685.987524,4.586994451,1.915968238,0.00071332
-79.5739082,159.6798665,igneous,plutonic,2889.985991,4.58887166,1.084522141,0.000375269
-79.5739082,159.6798665,igneous,plutonic,2918.361787,4.588733122,0.71868283,0.000246262
-79.5739082,159.6798665,igneous,plutonic,2927.33159,4.589149639,1.014155986,0.000346444
-79.5739082,159.6798665,igneous,plutonic,3112.764189,4.59300115,1.665694425,0.000535117
-79.5739082,159.6798665,igneous,plutonic,3126.743132,4.592979282,1.396509105,0.000446634
-79.5739082,159.6798665,igneous,plutonic,3141.632344,4.593139805,1.454996595,0.000463134
-79.5739082,159.6798665,igneous,plutonic,3150.512277,4.593225043,1.45727419,0.000462552
-79.5739082,159.6798665,igneous,plutonic,3157.71839,4.593307944,1.38959062,0.000440062
-79.5739082,159.6798665,igneous,plutonic,3160.31529,4.593421095,1.458797337,0.000461599
-79.57336613,160.127305,igneous,plutonic,2673.138274,4.587063992,2.098528552,0.000785043
-79.57011225,158.881254,igneous,plutonic,2626.451448,4.586890234,2.889382026,0.001100109
-79.57011225,158.881254,igneous,plutonic,2628.103753,4.586876714,2.754496469,0.001048093
-79.5701109,159.1612407,metamorphic,metaigneous,2936.954723,4.589311368,1.152857486,0.000392535
-79.5667,159.6667,igneous,plutonic,2886.977312,4.58887166,1.08349477,0.000375304
-79.5667,159.6667,igneous,plutonic,2916.851558,4.588733122,0.718324141,0.000246267
-79.5667,159.6667,igneous,plutonic,2924.726088,4.589149639,1.013321287,0.000346467
-79.5667,159.6667,igneous,plutonic,2934.506739,4.58903262,0.645887015,0.000220101
-79.5667,159.6667,igneous,plutonic,2934.90876,4.58876544,1.023919001,0.000348876
-79.5667,159.6667,igneous,plutonic,2948.291957,4.589403709,1.055221556,0.000357909
-79.5667,159.6667,igneous,plutonic,2948.362693,4.589386753,0.976405365,0.000331169
-79.5667,159.6667,igneous,plutonic,2957.325129,4.589679919,1.170004093,0.000395629
-79.5667,159.6667,igneous,plutonic,2990.646859,4.589958222,1.021333453,0.000341509
-79.5667,159.6667,igneous,plutonic,3073.944249,4.592483802,1.544329628,0.000502394
-79.5667,159.6667,igneous,plutonic,3079.192671,4.592482321,1.53652301,0.000499002
-79.5667,159.6667,igneous,plutonic,3110.9398,4.59300115,1.664992041,0.000535205
-79.5667,159.6667,igneous,plutonic,3124.97181,4.592979282,1.395838938,0.000446672
-79.5667,159.6667,igneous,plutonic,3139.983426,4.593139805,1.454276667,0.000463148
-79.5667,159.6667,igneous,plutonic,3148.89892,4.593225043,1.456567102,0.000462564
-79.5667,159.6667,igneous,plutonic,3156.133452,4.593307944,1.388955837,0.000440081
-79.5667,159.6667,igneous,plutonic,3158.65659,4.593421095,1.458065358,0.000461609
-79.56011152,159.1512397,igneous,plutonic,2597.385149,4.586843552,2.30769293,0.000888468
-79.56011152,159.1512397,metamorphic,metasedimentary,2756.573648,4.587798895,3.135840627,0.001137586
-79.55011378,158.8012548,igneous,plutonic,2631.615576,4.586854444,3.872282871,0.001471447
-79.55011354,158.8512525,igneous,plutonic,2625.898287,4.586856917,2.022184523,0.000770092
-79.54011582,158.5012675,igneous,plutonic,2617.572512,4.586919805,2.831672835,0.001081793
-79.53957962,159.7950261,igneous,plutonic,2668.479861,4.587068706,2.851389077,0.001068544
-79.53472222,-23.10722222,metamorphic,"not defined, metamorphic",3062.134284,4.591691451,0.152875727,0.0000499
-79.5301164,158.501266,igneous,plutonic,2615.679523,4.586906721,2.987550085,0.00114217
-79.53011488,158.8112514,igneous,plutonic,2640.652052,4.58682652,2.162282997,0.000818844
-79.478038,160.971123,igneous,plutonic,2734.500161,4.587311413,2.744663989,0.001003717
-79.47277778,-18.59583333,metamorphic,metaplutonic,2903.213024,4.588423579,0.313394011,0.000107947
-79.46583333,-19.84083333,metamorphic,metaigneous,2938.838329,4.58972512,0.283564069,0.0000965
-79.45694444,-18.39722222,metamorphic,metaigneous,2940.804131,4.58895841,0.170317299,0.0000579
-79.39777778,-18.90277778,metamorphic,metaplutonic,2778.902532,4.588381066,0.90999899,0.000327467
-79.36111111,-19.35972222,metamorphic,metaigneous,2935.117579,4.588712417,0.331129612,0.000112816
-79.36111111,-19.35972222,metamorphic,metaigneous,2968.967803,4.589024108,0.247711581,0.0000834
-79.36111111,-19.35972222,metamorphic,metaigneous,2976.865867,4.589767426,0.364731685,0.000122522
-79.36111111,-19.35972222,metamorphic,metaigneous,3041.642804,4.591682758,0.396183396,0.000130253
-79.33888889,-24.94722222,metamorphic,metaplutonic,2723.627526,4.587870482,3.605361941,0.001323735
-79.28055556,-24.06944444,metamorphic,metaigneous,2950.390307,4.588964881,0.276483027,0.0000937
-79.27222222,-24.05833333,metamorphic,metaigneous,2918.913735,4.589002774,0.479772874,0.000164367
-79.27222222,-24.05833333,metamorphic,metaigneous,2920.739699,4.589222106,0.143283825,0.0000491
-79.27055556,-24.23083333,metamorphic,metaigneous,2932.943628,4.589283276,0.626144318,0.000213487
-79.27055556,-24.23083333,metamorphic,metaigneous,2979.277147,4.589215912,0.614768825,0.000206348
-79.185392,160.405796,metamorphic,metaplutonic,2672.399775,4.587059044,2.832884198,0.001060053
-79.05,159.1666944,igneous,plutonic,2598.699258,4.586860018,5.536655428,0.002130549
-79.05,159.1666944,igneous,plutonic,2605.093087,4.586862249,3.225050185,0.001237979
-79.05,159.1666944,igneous,plutonic,2636.521003,4.586915495,3.284566056,0.001245796
-79.00013484,161.0010775,igneous,plutonic,2633.535135,4.586915495,3.281539785,0.001246059
-79.00013484,161.0010775,metamorphic,metasedimentary,2734.226307,4.587976679,2.788252044,0.001019759
-78.9666667,-87.4666667,metamorphic,metaplutonic,2709.271888,4.587347578,2.590863794,0.000956295
-78.89697492,160.0889061,igneous,plutonic,3228.86426,4.594692563,1.088564682,0.000337135
